
Connected to: Oracle Database 19c Enterprise Edition Release 19.0.0.0.0 - Production
Version 19.22.0.0.0

Export file created by EXPORT:V19.00.00 via conventional path

Warning: the objects were exported by SA, not by you

import done in UTF8 character set and AL16UTF16 NCHAR character set
import server uses WE8ISO8859P1 character set (possible charset conversion)
. importing SA's objects into SAREFW
. importing SA's objects into SAREFW
. . importing table    "MTM_CNTRLD_FN2_AUTH_PATH3"        307 rows imported
. . importing table      "MTM_COUNTRY1_TIME_ZONE0"         22 rows imported
. . importing table   "MTM_CYCLE_STAGE5_TASK_SET3"          0 rows imported
. . importing table    "MTM_FLEX_DEFN0_FLEX_TMPL0"       4969 rows imported
. . importing table    "MTM_GBST_ELM89_CNTRLD_FN8"          0 rows imported
. . importing table   "MTM_GBST_ELM92_TRANSN_MAP2"        119 rows imported
. . importing table   "MTM_HGBST_ELM0_HGBST_SHOW1"      56179 rows imported
. . importing table    "MTM_HGBST_ELM1_CNTRLD_FN9"          0 rows imported
. . importing table "MTM_HGBST_ELM34_PART_ACTION2"         15 rows imported
. . importing table       "MTM_HGBST_ELM59_EVENT0"          0 rows imported
. . importing table   "MTM_HGBST_ELM9_TRANSN_MAP4"          0 rows imported
. . importing table    "MTM_LIFE_CYCLE6_TASK_SET2"          0 rows imported
. . importing table    "MTM_MOD_LEVEL4_MOD_LEVEL5"        449 rows imported
. . importing table "MTM_MOD_LEVEL52_PART_ACTION0"          0 rows imported
. . importing table   "MTM_MOD_LEVEL53_FLEX_TMPL1"          0 rows imported
. . importing table     "MTM_MOD_LEVEL54_PROCESS8"          0 rows imported
. . importing table "MTM_MOD_LEVEL56_ELGBLTY_SET0"          0 rows imported
. . importing table    "MTM_OFFERING8_OFFR_PRICE4"          0 rows imported
. . importing table       "MTM_OFFERING9_PROCESS7"          0 rows imported
. . importing table   "MTM_OFFR_PRICE2_FR_AGRMNT3"          0 rows imported
. . importing table   "MTM_OFFR_PROD2_OFFR_PRICE0"          0 rows imported
. . importing table "MTM_PART_ACTION3_CH_OFR_ROLE2"          0 rows imported
. . importing table "MTM_PRICE_FACTOR0_PRICE_INST3"          0 rows imported
. . importing table   "MTM_PRIVCLASS1_CONTROL_DB2"          0 rows imported
. . importing table   "MTM_PRIVCLASS7_VALUE_ITEM2"          0 rows imported
. . importing table   "MTM_PRIVCLASS8_WEB_OBJECT0"          0 rows imported
. . importing table     "MTM_PRIVCLASS9_RQST_DEF3"          0 rows imported
. . importing table  "MTM_PRT_DOMAIN1_PRT_DOMAIN2"          0 rows imported
. . importing table      "MTM_RULE_OBJECT0_EVENT1"        357 rows imported
. . importing table    "MTM_STAGE_TASK4_TASK_SET0"          0 rows imported
. . importing table "MTM_TM_TASK_GRP0_TM_TASK_DEF0"          4 rows imported
. . importing table   "MTM_WEB_OBJECT1_CNTRLD_FN3"        167 rows imported
. . importing table    "MTM_WINDOW_DB4_RC_CONFIG1"        804 rows imported
. . importing table    "MTM_WINDOW_DB5_RC_CONFIG2"          0 rows imported
. . importing table        "TABLE_ACTION_DATA_MAP"          1 rows imported
. . importing table        "TABLE_ANA_SCORE_RANGE"          0 rows imported
. . importing table             "TABLE_AUDIT_INFO"         36 rows imported
. . importing table            "TABLE_AUTH_DOMAIN"          8 rows imported
. . importing table              "TABLE_AUTH_PATH"          8 rows imported
. . importing table               "TABLE_AXFPROPS"       1818 rows imported
. . importing table                "TABLE_BIZ_CAL"       2019 rows imported
. . importing table            "TABLE_BIZ_CAL_HDR"       2019 rows imported
. . importing table            "TABLE_BM_BUS_PLCY"         32 rows imported
. . importing table             "TABLE_CCLASS_DEF"         15 rows imported
. . importing table            "TABLE_CDO_CONTEXT"          0 rows imported
. . importing table        "TABLE_CDO_CONTEXT_MAP"          0 rows imported
. . importing table                "TABLE_CHANNEL"         77 rows imported
. . importing table             "TABLE_CHOICE_FLD"        355 rows imported
. . importing table            "TABLE_CH_OFR_ROLE"          0 rows imported
. . importing table            "TABLE_CIH_MAPPING"        228 rows imported
. . importing table              "TABLE_CLS_GROUP"          0 rows imported
. . importing table              "TABLE_CNTRLD_FN"        365 rows imported
. . importing table             "TABLE_CNTRLD_OBJ"         17 rows imported
. . importing table             "TABLE_COM_TMPLTE"        214 rows imported
. . importing table              "TABLE_COND_DEFN"         54 rows imported
. . importing table             "TABLE_CONFIG_ITM"        728 rows imported
. . importing table             "TABLE_CONTROL_DB"      17881 rows imported
. . importing table                "TABLE_COUNTRY"          2 rows imported
. . importing table             "TABLE_CTX_OBJ_DB"      28073 rows imported
. . importing table              "TABLE_CTX_PANEL"          4 rows imported
. . importing table         "TABLE_CTX_PANEL_FORM"          7 rows imported
. . importing table         "TABLE_CTX_PANEL_RULE"         30 rows imported
. . importing table              "TABLE_CTYPE_LVL"       1070 rows imported
. . importing table               "TABLE_CURRENCY"          7 rows imported
. . importing table           "TABLE_CUSTOMER_ACT"        280 rows imported
. . importing table            "TABLE_CYCLE_STAGE"          9 rows imported
. . importing table            "TABLE_DAYLIGHT_HR"        536 rows imported
. . importing table              "TABLE_DIST_SRVR"          0 rows imported
. . importing table            "TABLE_ELGBLTY_SET"          0 rows imported
. . importing table            "TABLE_ENTITLEMENT"        584 rows imported
. . importing table                  "TABLE_EVENT"        169 rows imported
. . importing table                   "TABLE_EXPR"          5 rows imported
. . importing table             "TABLE_EXPR_PARAM"          4 rows imported
. . importing table            "TABLE_EXTERN_LINK"          0 rows imported
. . importing table            "TABLE_FA_PART_NUM"          0 rows imported
